Series_reference,Period,Data_value,Suppressed,Status,Units,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BLDM.STTZ1100A1AAC,1972.10,34.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1972.11,21.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1972.12,19.5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.01,51.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.02,27.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.03,63.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.04,45.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.05,28.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.06,25.5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.07,39.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.08,23.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.09,12.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.10,37.3,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.11,31.4,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1973.12,23.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.01,11.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.02,0.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.03,-7.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.04,-7.4,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.05,3,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.06,-8.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.07,-13,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.08,-14.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.09,-12.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.10,-27.3,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.11,-30.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1974.12,-21.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.01,-26.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.02,-30,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.03,-13.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.04,0,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.05,-25.3,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.06,-15.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.07,-3.8,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.08,-13.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.09,-0.5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.10,-4.7,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.11,-7.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1975.12,20.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.01,5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.02,25,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.03,13.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.04,-12.4,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.05,-8.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.06,1.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.07,-11.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1976.08,-8.9,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
